nl,db_id,sql,type,comments
What is the average age of female students?,activity_1,SELECT AVG(Age) FROM Student WHERE Sex='F',binary-gender,
What is the average age of students who are not men?,activity_1,SELECT AVG(Age) FROM Student WHERE Sex='F',binary-gender,
How many male students are in the chess club?,activity_1,SELECT COUNT(*) FROM Student JOIN Participates_in ON Student.StuID = Participates_in.stuid JOIN Activity ON Activity.actid = Participates_in.actid  WHERE Student.Sex='M' AND Activity.activity_name='Chess',binary-gender,
"Write me the surnames of all male students, who play football.",activity_1,SELECT DISTINCT Student.Lname FROM Student JOIN Participates_in ON Student.StuID = Participates_in.stuid JOIN Activity ON Activity.actid = Participates_in.actid  WHERE Student.Sex='M' AND Activity.activity_name='Chess',binary-gender,
"Please, list all female dog names in kennels?",dog_kennels,SELECT name FROM Dogs WHERE Gender='0',binary-gender,
Amount of female singers,concert_singer,SELECT count( * ) FROM singer WHERE singer.Is_male = 0,binary-gender,
List me names of female artists who preferred genre is folk,music_1,SELECT artist_name FROM artist WHERE Gender='Female' AND preferred_genre='folk',binary-gender,
"Show me, please, names of not male artists who preferred genre is folk",music_1,SELECT artist_name FROM artist WHERE Gender='Female' AND preferred_genre='folk',binary-gender,
What genres do female artists prefer?,music_1,SELECT preferred_genre FROM artist WHERE Gender='Female',binary-gender,
Sort out the ranks of the men. Bring each one out once.,riding_club,SELECT DISTINCT(Rank) FROM player WHERE Gender='M' ORDER BY Rank,binary-gender,
Sort out the distinct ranks of the men. ,riding_club,SELECT DISTINCT(Rank) FROM player WHERE Gender='M' ORDER BY Rank,binary-gender,
Names of active airlines,flight_4,SELECT name FROM airlines WHERE active='Y',binary-yes-no,
How many active airlines are in France?,flight_4,SELECT COUNT(*) FROM airlines WHERE active='Y' AND country='France',binary-yes-no,
What are callsigns of inactive airlines?,flight_4,SELECT callsign FROM airlines WHERE active='N',binary-yes-no,
How many temporary acting management are?,department_management,SELECT COUNT(*) FROM management WHERE temporary_acting='Yes',binary-yes-no,
Amount of temporary acting managements,department_management,SELECT COUNT(*) FROM management WHERE temporary_acting='Yes',binary-yes-no,
Amount of not temporary acting managements ,department_management,SELECT COUNT(*) FROM management WHERE temporary_acting='No',binary-yes-no,
Amount of TV channels without paying per view,tvshow,SELECT COUNT(*) FROM TV_Channel WHERE Pay_per_view_PPV='no',binary-yes-no,
How many hours per week  students play on scholarship?,game_1,SELECT SUM(HoursPerWeek) FROM SportsInfo WHERE OnScholarship='Y',binary-yes-no,
What the total amount of games played not on scholarship?,game_1,SELECT SUM(GamesPlayed) FROM SportsInfo WHERE OnScholarship='N',binary-yes-no,
What the earliest year whensomeone was inducted?,baseball_1,SELECT MIN(yearid) FROM hall_of_fame WHERE inducted='Y',binary-yes-no,
List the id of players who were inducted into players in 1936,baseball_1,SELECT player_id FROM hall_of_fame WHERE inducted='Y' AND yearid=1936 and category='Player',binary-yes-no,
Average age of women,wedding,SELECT AVG(age) FROM people WHERE Is_Male='F',binary-true-false,
Show me average age of men,wedding,SELECT AVG(age) FROM people WHERE Is_Male='T',binary-true-false,
From how many countries are men?,wedding,SELECT COUNT(DISTINCT Country) FROM people WHERE Is_Male='T',binary-true-false,
How many schools have fool time working buses?,school_bus,SELECT COUNT(DISTINCT School_ID) FROM school_bus WHERE If_full_time='T',binary-true-false,
How many schools have not fool time buses?,school_bus,SELECT COUNT(DISTINCT School_ID) FROM school_bus WHERE If_full_time='F',binary-true-false,
What is average percentage of people in countries speaking offical language?,world_1,SELECT AVG(Percentage) FROM countrylanguage WHERE IsOfficial='T',binary-true-false,
What is percentage of people speaking offical language in KAZ?,world_1,SELECT Percentage FROM countrylanguage WHERE IsOfficial='T' AND CountryCode='KAZ',binary-true-false,
